next,名称,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,A,1,,roman_up_A.png,back_alfabet.png,cursor_alfabet.png,pushed.png,24,12,11,1,1,0,0,0,0,0,0,0,0,A,0,0,1
1,B,1,,roman_up_B.png,-2,-2,-2,25,13,0,2,1,-111111,-222222,0,0,0,0,0,0,B,0,0,1
2,C,1,,roman_up_C.png,-2,-2,-2,26,14,1,3,1,-111111,-222222,0,0,0,0,0,0,C,0,0,1
3,D,1,,roman_up_D.png,-2,-2,-2,27,15,2,4,1,-111111,-222222,0,0,0,0,0,0,D,0,0,1
4,E,1,,roman_up_E.png,-2,-2,-2,28,16,3,5,1,-111111,-222222,0,0,0,0,0,0,E,0,0,1
5,F,1,,roman_up_F.png,-2,-2,-2,29,17,4,6,1,-111111,-222222,0,0,0,0,0,0,F,0,0,1
6,G,1,,roman_up_G.png,-2,-2,-2,30,18,5,7,1,-111111,-222222,0,0,0,0,0,0,G,0,0,1
7,H,1,,roman_up_H.png,-2,-2,-2,31,19,6,8,1,-111111,-222222,0,0,0,0,0,0,H,0,0,1
8,I,1,,roman_up_I.png,-2,-2,-2,32,20,7,9,1,-111111,-222222,0,0,0,0,0,0,I,0,0,1
9,J,1,,roman_up_J.png,-2,-2,-2,33,21,8,10,1,-111111,-222222,0,0,0,0,0,0,J,0,0,1
10,K,1,,roman_up_K.png,-2,-2,-2,34,22,9,11,1,-111111,-222222,0,0,0,0,0,0,K,0,0,1
11,L,1,,roman_up_L.png,-2,-2,-2,35,23,10,0,1,-111111,-222222,0,0,0,0,0,0,L,0,0,1
12,M,1,,roman_up_M.png,-2,-2,-2,0,24,23,13,1,0,-111111,0,0,0,0,0,0,M,0,0,1
13,N,1,,roman_up_N.png,-2,-2,-2,1,25,12,14,1,-111111,-222222,0,0,0,0,0,0,N,0,0,1
14,O,1,,roman_up_O.png,-2,-2,-2,2,26,13,15,1,-111111,-222222,0,0,0,0,0,0,O,0,0,1
15,P,1,,roman_up_P.png,-2,-2,-2,3,27,14,16,1,-111111,-222222,0,0,0,0,0,0,P,0,0,1
16,Q,1,,roman_up_Q.png,-2,-2,-2,4,28,15,17,1,-111111,-222222,0,0,0,0,0,0,Q,0,0,1
17,R,1,,roman_up_R.png,-2,-2,-2,5,29,16,18,1,-111111,-222222,0,0,0,0,0,0,R,0,0,1
18,S,1,,roman_up_S.png,-2,-2,-2,6,30,17,19,1,-111111,-222222,0,0,0,0,0,0,S,0,0,1
19,T,1,,roman_up_T.png,-2,-2,-2,7,31,18,20,1,-111111,-222222,0,0,0,0,0,0,T,0,0,1
20,U,1,,roman_up_U.png,-2,-2,-2,8,32,19,21,1,-111111,-222222,0,0,0,0,0,0,U,0,0,1
21,V,1,,roman_up_V.png,-2,-2,-2,9,33,20,22,1,-111111,-222222,0,0,0,0,0,0,V,0,0,1
22,W,1,,roman_up_W.png,-2,-2,-2,10,34,21,23,1,-111111,-222222,0,0,0,0,0,0,W,0,0,1
23,X,1,,roman_up_X.png,-2,-2,-2,11,35,22,12,1,-111111,-222222,0,0,0,0,0,0,X,0,0,1
24,Y,1,,roman_up_Y.png,-2,-2,-2,12,0,35,25,1,0,-111111,0,0,0,0,0,0,Y,0,0,1
25,Z,1,,roman_up_Z.png,-2,-2,-2,13,1,24,26,1,-111111,-222222,0,0,0,0,0,0,Z,0,0,1
26,度,1,,degree.png,-2,-2,-2,14,2,25,27,1,-111111,-222222,0,0,0,0,0,0,°,0,0,1
27,平行,1,,parallel.png,-2,-2,-2,15,3,26,28,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{21},0,0,1
28,垂直,1,,up_tack.png,-2,-2,-2,16,4,27,29,1,-111111,-222222,0,0,0,0,0,0,⊥,0,0,1
29,角,1,,angle.png,-2,-2,-2,17,5,28,30,1,-111111,-222222,0,0,0,0,0,0,∠,0,0,1
30,三角形,1,,triangle.png,-2,-2,-2,18,6,29,31,1,-111111,-222222,0,0,0,0,0,0,△,0,0,1
31,平行四辺形,1,,parallelogram.png,-2,-2,-2,19,7,30,32,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{22},0,0,1
32,合同,1,,identical_to.png,-2,-2,-2,20,8,31,33,1,-111111,-222222,0,0,0,0,0,0,≡,0,0,1
33,相似,1,,similar.png,-2,-2,-2,21,9,32,34,1,-111111,-222222,0,0,0,0,0,0,∽,0,0,1
34,,1,,,-2,-2,-2,22,10,33,35,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
35,,1,,,-2,-2,-2,23,11,34,24,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
next,Title（20文字+1）,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,αアルファ,1,,greek_italic_low_alpha.png,back_alfabet.png,cursor_alfabet.png,pushed.png,24,12,11,1,1,0,0,0,0,0,0,0,0,α,0,0,1
1,βベータ,1,,greek_italic_low_beta.png,-2,-2,-2,25,13,0,2,1,-111111,-222222,0,0,0,0,0,0,β,0,0,1
2,γガンマ,1,,greek_italic_low_gamma.png,-2,-2,-2,26,14,1,3,1,-111111,-222222,0,0,0,0,0,0,γ,0,0,1
3,δデルタ,1,,greek_italic_low_delta.png,-2,-2,-2,27,15,2,4,1,-111111,-222222,0,0,0,0,0,0,δ,0,0,1
4,εイプシロン,1,,greek_italic_low_epsilon.png,-2,-2,-2,28,16,3,5,1,-111111,-222222,0,0,0,0,0,0,ε,0,0,1
5,ζゼータ,1,,greek_italic_low_zeta.png,-2,-2,-2,29,17,4,6,1,-111111,-222222,0,0,0,0,0,0,ζ,0,0,1
6,ηイータ,1,,greek_italic_low_eta.png,-2,-2,-2,30,18,5,7,1,-111111,-222222,0,0,0,0,0,0,η,0,0,1
7,θシータ,1,,greek_italic_low_theta.png,-2,-2,-2,31,19,6,8,1,-111111,-222222,0,0,0,0,0,0,θ,0,0,1
8,ιイオタ,1,,greek_italic_low_iota.png,-2,-2,-2,32,20,7,9,1,-111111,-222222,0,0,0,0,0,0,ι,0,0,1
9,κカッパ,1,,greek_italic_low_kappa.png,-2,-2,-2,33,21,8,10,1,-111111,-222222,0,0,0,0,0,0,κ,0,0,1
10,λラムダ,1,,greek_italic_low_lambda.png,-2,-2,-2,34,22,9,11,1,-111111,-222222,0,0,0,0,0,0,λ,0,0,1
11,μミュー,1,,greek_italic_low_mu.png,-2,-2,-2,35,23,10,0,1,-111111,-222222,0,0,0,0,0,0,μ,0,0,1
12,νニュー,1,,greek_italic_low_nu.png,-2,-2,-2,0,24,23,13,1,0,-111111,0,0,0,0,0,0,ν,0,0,1
13,ξグザイ,1,,greek_italic_low_xi.png,-2,-2,-2,1,25,12,14,1,-111111,-222222,0,0,0,0,0,0,ξ,0,0,1
14,οオミクロン,1,,greek_italic_low_o.png,-2,-2,-2,2,26,13,15,1,-111111,-222222,0,0,0,0,0,0,ο,0,0,1
15,πパイ,1,,greek_italic_low_pi.png,-2,-2,-2,3,27,14,16,1,-111111,-222222,0,0,0,0,0,0,π,0,0,1
16,ρロー,1,,greek_italic_low_rho.png,-2,-2,-2,4,28,15,17,1,-111111,-222222,0,0,0,0,0,0,ρ,0,0,1
17,σシグマ,1,,greek_italic_low_sigma.png,-2,-2,-2,5,29,16,18,1,-111111,-222222,0,0,0,0,0,0,σ,0,0,1
18,τタウ,1,,greek_italic_low_tau.png,-2,-2,-2,6,30,17,19,1,-111111,-222222,0,0,0,0,0,0,τ,0,0,1
19,υウプシロン,1,,greek_italic_low_upsilon.png,-2,-2,-2,7,31,18,20,1,-111111,-222222,0,0,0,0,0,0,υ,0,0,1
20,φファイ,1,,greek_italic_low_phi.png,-2,-2,-2,8,32,19,21,1,-111111,-222222,0,0,0,0,0,0,φ,0,0,1
21,χカイ,1,,greek_italic_low_chi.png,-2,-2,-2,9,33,20,22,1,-111111,-222222,0,0,0,0,0,0,χ,0,0,1
22,ψプサイ,1,,greek_italic_low_psi.png,-2,-2,-2,10,34,21,23,1,-111111,-222222,0,0,0,0,0,0,ψ,0,0,1
23,ωオメガ,1,,greek_italic_low_omega.png,-2,-2,-2,11,35,22,12,1,-111111,-222222,0,0,0,0,0,0,ω,0,0,1
24,∈,1,,element_of.png,-2,-2,-2,12,0,35,25,1,0,-111111,0,0,0,0,0,0,∈,0,0,1
25,∋,1,,contains_as_member.png,-2,-2,-2,13,1,24,26,1,-111111,-222222,0,0,0,0,0,0,∋,0,0,1
26,⊂,1,,subset_of.png,-2,-2,-2,14,2,25,27,1,-111111,-222222,0,0,0,0,0,0,⊂,0,0,1
27,⊃,1,,superset_of.png,-2,-2,-2,15,3,26,28,1,-111111,-222222,0,0,0,0,0,0,⊃,0,0,1
28,⊆,1,,subsetE.png,-2,-2,-2,16,4,27,29,1,-111111,-222222,0,0,0,0,0,0,⊆,0,0,1
29,⊇,1,,supersetE.png,-2,-2,-2,17,5,28,30,1,-111111,-222222,0,0,0,0,0,0,⊇,0,0,1
30,空集合,1,,empty_set.png,-2,-2,-2,18,6,29,31,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{19},0,0,1
31,∩,1,,intersection.png,-2,-2,-2,19,7,30,32,1,-111111,-222222,0,0,0,0,0,0,∩,0,0,1
32,∪,1,,union.png,-2,-2,-2,20,8,31,33,1,-111111,-222222,0,0,0,0,0,0,∪,0,0,1
33,,1,,,-2,-2,-2,21,9,32,34,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
34,,1,,,-2,-2,-2,22,10,33,35,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
35,,1,,,-2,-2,-2,23,11,34,24,1,-111111,-222222,0,0,0,0,0,0,,1,0,1
next,Title（20文字+1）,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,絶対値,1,,m_abso.png,back_gold.png,cursor_gold.png,pushed.png,12,6,5,1,1,0,0,0,0,0,0,0,0,#abso(),1,2,1
1,累乗根,1,,m_root.png,-2,-2,-2,13,7,0,2,1,-111111,-222222,0,0,0,0,0,0,#root(;),1,2,1
2,総和,1,,m_sum.png,-2,-2,-2,14,8,1,3,1,-111111,-222222,0,0,0,0,0,0,#sum(^Σ^;k=;n;),2,2,1
3,対数,1,,m_log.png,-2,-2,-2,15,9,2,4,1,-111111,-222222,0,0,0,0,0,0,#log(^log^;;),2,2,1
4,ネイピア数,1,,m_italic_low_e.png,-2,-2,-2,16,10,3,5,1,-111111,-222222,0,0,0,0,0,0,e,0,0,1
5,無限大,1,,m_infinity.png,-2,-2,-2,17,11,4,0,1,-111111,-222222,0,0,0,0,0,0,∞,0,2,1
6,関数f(x),1,,m_func_f.png,-2,-2,-2,0,12,11,7,1,0,-111111,0,0,0,0,0,0,#func(f;x),0,2,1
7,微分f′(x),1,,m_func_fdiff.png,-2,-2,-2,1,13,6,8,1,-111111,-222222,0,0,0,0,0,0,#func(^#diff(f;^′^)^;x),0,2,1
8,微分□′,1,,m_diff.png,-2,-2,-2,2,14,7,9,1,-111111,-222222,0,0,0,0,0,0,#diff(;^′^),1,2,1
9,積分,1,,m_int.png,-2,-2,-2,3,15,8,10,1,-111111,-222222,0,0,0,0,0,0,#int(^∫^;;;;dx),2,2,1
10,積分後,1,,m_primit.png,-2,-2,-2,4,16,9,11,1,-111111,-222222,0,0,0,0,0,0,#primit(;;),1,2,1
11,極限,1,,m_lim.png,-2,-2,-2,5,17,10,6,1,-111111,-222222,0,0,0,0,0,0,#lim(^lim^;x→;),2,2,1
12,関数□(□),1,,m_func.png,-2,-2,-2,6,0,17,13,1,0,-111111,0,0,0,0,0,0,#func(;),1,2,1
13,関数□′(□),1,,m_func_diff.png,-2,-2,-2,7,1,12,14,1,-111111,-222222,0,0,0,0,0,0,#func(^#diff(;^′^)^;),1,2,1
14,順列,1,,m_permutation.png,-2,-2,-2,8,2,13,15,1,-111111,-222222,0,0,0,0,0,0,#noc(;^P^;),1,2,1
15,組合せ,1,,m_combination.png,-2,-2,-2,9,3,14,16,1,-111111,-222222,0,0,0,0,0,0,^#noc(;^C^;)^,1,2,1
16,重複順列,1,,m_repeated_permutation.png,-2,-2,-2,10,4,15,17,1,-111111,-222222,0,0,0,0,0,0,#noc(;^Π^;),1,2,1
17,重複組合せ,1,,m_homogeneous_product.png,-2,-2,-2,11,5,16,12,1,-111111,-222222,0,0,0,0,0,0,#noc(;^H^;),1,2,1
next,Title（20文字+1）,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,sin,1,,m_sin.png,back_gold.png,cursor_gold.png,pushed.png,12,6,5,1,1,0,0,0,0,0,0,0,0,#trig(^sin^;;),3,2,1
1,cos,1,,m_cos.png,-2,-2,-2,13,7,0,2,1,-111111,-222222,0,0,0,0,0,0,#trig(^cos^;;),3,2,1
2,tan,1,,m_tan.png,-2,-2,-2,14,8,1,3,1,-111111,-222222,0,0,0,0,0,0,#trig(^tan^;;),3,2,1
3,ﾍﾞｸﾄﾙ,1,,m_vector.png,-2,-2,-2,15,9,2,4,1,-111111,-222222,0,0,0,0,0,0,#vector(),1,2,1
4,大きさ,1,,m_magnitude_vec.png,-2,-2,-2,16,10,3,5,1,-111111,-222222,0,0,0,0,0,0,#abso{#vector()},1,2,1
5,偏角,1,,m_arg.png,-2,-2,-2,17,11,4,0,1,-111111,-222222,0,0,0,0,0,0,#arg(^arg^;),2,2,1
6,α,1,,m_greek_italic_low_alpha.png,-2,-2,-2,0,12,11,7,1,0,-111111,0,0,0,0,0,0,α,0,0,1
7,β,1,,m_greek_italic_low_beta.png,-2,-2,-2,1,13,6,8,1,-111111,-222222,0,0,0,0,0,0,β,0,0,1
8,γ,1,,m_greek_italic_low_gamma.png,-2,-2,-2,2,14,7,9,1,-111111,-222222,0,0,0,0,0,0,γ,0,0,1
9,θ,1,,m_greek_italic_low_theta.png,-2,-2,-2,3,15,8,10,1,-111111,-222222,0,0,0,0,0,0,θ,0,0,1
10,π,1,,m_greek_italic_low_pi.png,-2,-2,-2,4,16,9,11,1,-111111,-222222,0,0,0,0,0,0,π,0,0,1
11,ω,1,,m_greek_italic_low_omega.png,-2,-2,-2,5,17,10,6,1,-111111,-222222,0,0,0,0,0,0,ω,0,0,1
12,弧,1,,m_arc.png,-2,-2,-2,6,0,17,13,1,0,-111111,0,0,0,0,0,0,#arc(),1,2,1
13,,1,,,-2,-2,-2,7,1,12,14,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
14,,1,,,-2,-2,-2,8,2,13,15,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
15,,1,,,-2,-2,-2,9,3,14,16,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
16,,1,,,-2,-2,-2,10,4,15,17,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
17,,1,,,-2,-2,-2,11,5,16,12,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
next,Title（20文字+1）,AreaCtrlNo,Title（20文字+1）,DialImg,WaitingImg,CursorImg,PushedImg,Up,Down,Left,Right,Active,Location[0],Location[1],Padding[0],Padding[1],Padding[2],Padding[3],Width,Height,PutText（150文字+1）,Start,ButtonType,ButtonFormN
0,(行列),1,,m_pmatrix.png,back_gold.png,cursor_gold.png,pushed.png,12,6,5,1,1,0,0,0,0,0,0,0,0,#pmatrix{()},1,2,1
1,[行列],1,,m_bmatrix.png,-2,-2,-2,13,7,0,2,1,-111111,-222222,0,0,0,0,0,0,#bmatrix{()},1,2,1
2,|行列式|,1,,m_vmatrix.png,-2,-2,-2,14,8,1,3,1,-111111,-222222,0,0,0,0,0,0,#vmatrix{()},1,2,1
3,列の追加,1,,m_matrix_column.png,-2,-2,-2,15,9,2,4,1,-111111,-222222,0,0,0,0,0,0,&,0,0,1
4,行の追加,1,,m_matrix_raw.png,-2,-2,-2,16,10,3,5,1,-111111,-222222,0,0,0,0,0,0,)(,0,0,1
5,,1,,,-2,-2,-2,17,11,4,0,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
6,右上矢印,1,,m_arrow10.png,-2,-2,-2,0,12,11,7,1,0,-111111,0,0,0,0,0,0,#tkigouEx{10},0,0,1
7,右下矢印,1,,m_arrow11.png,-2,-2,-2,1,13,6,8,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{11},0,0,1
8,右上がり上に凸,1,,m_arrow13.png,-2,-2,-2,2,14,7,9,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{13},0,0,1
9,右下がり上に凸,1,,m_arrow14.png,-2,-2,-2,3,15,8,10,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{14},0,0,1
10,右下がり下に凸,1,,m_arrow15.png,-2,-2,-2,4,16,9,11,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{15},0,0,1
11,右上がり下に凸,1,,m_arrow16.png,-2,-2,-2,5,17,10,6,1,-111111,-222222,0,0,0,0,0,0,#tkigouEx{16},0,0,1
12,,1,,,-2,-2,-2,6,0,17,13,1,0,-111111,0,0,0,0,0,0,,0,0,1
13,,1,,,-2,-2,-2,7,1,12,14,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
14,,1,,,-2,-2,-2,8,2,13,15,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
15,,1,,,-2,-2,-2,9,3,14,16,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
16,,1,,,-2,-2,-2,10,4,15,17,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
17,,1,,,-2,-2,-2,11,5,16,12,1,-111111,-222222,0,0,0,0,0,0,,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
